loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,loan_status,term_int,grade_int,emp_length_int,home_ownership_int,verification_status_int,purpose_int,income_tax
6000, 36 months,11.47,197.78,B,2 years,MORTGAGE,55000.0,Source Verified,home_improvement,39.3,0.0,Fully Paid,0,1,2,0,1,2,0.0
28275, 60 months,12.61,637.72,C,5 years,RENT,125000.0,Source Verified,credit_card,11.91,0.0,Current,1,2,5,2,1,3,9375.0
39000, 36 months,6.19,1189.82,A,3 years,OWN,100000.0,Source Verified,debt_consolidation,7.88,0.0,Current,0,0,3,1,1,1,7500.0
7000, 36 months,10.08,226.14,B,2 years,RENT,40000.0,Source Verified,debt_consolidation,10.02,0.0,Current,0,1,2,2,1,1,0.0
20000, 60 months,12.74,452.41,C,2 years,OWN,96700.0,Source Verified,debt_consolidation,14.62,0.0,Current,1,2,2,1,1,1,7252.5
35000, 60 months,22.39,974.44,E,9 years,MORTGAGE,110000.0,Source Verified,debt_consolidation,15.72,0.0,Fully Paid,1,4,9,0,1,1,8250.0
19200, 60 months,13.56,442.39,C,,MORTGAGE,70000.0,Not Verified,debt_consolidation,2.73,0.0,Late (16-30 days),1,2,-1,0,2,1,5250.0
24000, 36 months,7.69,748.65,A,9 years,MORTGAGE,165000.0,Source Verified,debt_consolidation,14.44,0.0,Fully Paid,0,0,9,0,1,1,12375.0
1900, 36 months,11.49,62.65,B,10+ years,RENT,60000.0,Not Verified,home_improvement,17.04,0.0,Current,0,1,10,2,2,2,0.0
15400, 36 months,8.59,486.79,A,8 years,MORTGAGE,64000.0,Source Verified,debt_consolidation,17.63,1.0,Fully Paid,0,0,8,0,1,1,0.0
9600, 36 months,14.46,330.26,C,1 year,RENT,30000.0,Source Verified,debt_consolidation,26.0,1.0,Charged Off,0,2,1,2,1,1,0.0
4000, 36 months,19.99,148.64,E,7 years,MORTGAGE,55000.0,Not Verified,other,28.39,0.0,Fully Paid,0,4,7,0,2,0,0.0
12000, 60 months,11.47,263.74,B,3 years,RENT,50000.0,Not Verified,debt_consolidation,11.83,1.0,Charged Off,1,1,3,2,2,1,0.0
6000, 36 months,8.39,189.1,B,8 years,MORTGAGE,89000.0,Source Verified,other,32.34,0.0,Fully Paid,0,1,8,0,1,0,6675.0
35000, 60 months,11.53,770.27,B,10+ years,MORTGAGE,133508.0,Verified,credit_card,32.12,0.0,Fully Paid,1,1,10,0,0,3,10013.1
8000, 36 months,9.93,257.88,B,< 1 year,RENT,32000.0,Source Verified,credit_card,6.71,0.0,Fully Paid,0,1,0,2,1,3,0.0
11000, 60 months,9.17,229.26,B,10+ years,MORTGAGE,50000.0,Not Verified,credit_card,17.86,0.0,Fully Paid,1,1,10,0,2,3,0.0
16800, 60 months,19.53,440.72,D,10+ years,RENT,60000.0,Source Verified,credit_card,27.43,1.0,Current,1,3,10,2,1,3,0.0
6300, 36 months,11.55,207.9,B,5 years,RENT,43000.0,Source Verified,credit_card,11.39,0.0,Current,0,1,5,2,1,3,0.0
15000, 60 months,17.86,379.76,D,10+ years,MORTGAGE,84000.0,Source Verified,debt_consolidation,15.74,0.0,Fully Paid,1,3,10,0,1,1,6300.0
6025, 36 months,13.56,204.64,C,2 years,RENT,51000.0,Not Verified,debt_consolidation,10.14,0.0,Current,0,2,2,2,2,1,0.0
12000, 36 months,7.39,372.67,A,2 years,RENT,90300.0,Verified,debt_consolidation,3.18,0.0,Fully Paid,0,0,2,2,0,1,6772.5
12000, 36 months,16.29,423.61,D,,RENT,100000.0,Source Verified,major_purchase,14.56,0.0,Fully Paid,0,3,-1,2,1,7,7500.0
5500, 36 months,12.29,183.45,C,8 years,RENT,30000.0,Source Verified,credit_card,22.84,3.0,Fully Paid,0,2,8,2,1,3,0.0
4750, 36 months,12.98,160.01,C,3 years,RENT,20400.0,Not Verified,debt_consolidation,23.29,0.0,Fully Paid,0,2,3,2,2,1,0.0
18000, 60 months,19.92,476.09,D,< 1 year,RENT,36000.0,Source Verified,debt_consolidation,29.4,0.0,Current,1,3,0,2,1,1,0.0
20000, 60 months,13.33,458.45,C,10+ years,OWN,100000.0,Not Verified,debt_consolidation,11.44,1.0,Charged Off,1,2,10,1,2,1,7500.0
8275, 36 months,14.65,285.44,C,10+ years,RENT,96000.0,Source Verified,debt_consolidation,9.06,0.0,Fully Paid,0,2,10,2,1,1,7200.0
15000, 60 months,9.17,312.62,B,7 years,MORTGAGE,102000.0,Source Verified,debt_consolidation,19.03,0.0,Current,1,1,7,0,1,1,7650.0
28000, 36 months,16.02,984.68,C,4 years,RENT,205000.0,Source Verified,credit_card,13.83,0.0,Current,0,2,4,2,1,3,15375.0
8950, 36 months,20.49,334.86,E,10+ years,MORTGAGE,28000.0,Source Verified,home_improvement,30.26,0.0,Charged Off,0,4,10,0,1,2,0.0
9600, 60 months,12.61,216.52,C,6 years,RENT,37000.0,Source Verified,debt_consolidation,22.28,0.0,Fully Paid,1,2,6,2,1,1,0.0
20000, 36 months,12.61,670.13,C,< 1 year,RENT,40000.0,Source Verified,credit_card,26.43,0.0,Fully Paid,0,2,0,2,1,3,0.0
6000, 36 months,9.43,192.01,B,4 years,RENT,62000.0,Source Verified,debt_consolidation,14.13,1.0,Current,0,1,4,2,1,1,0.0
8750, 36 months,14.99,303.28,C,2 years,MORTGAGE,90000.0,Source Verified,debt_consolidation,5.09,0.0,Charged Off,0,2,2,0,1,1,6750.0
24000, 36 months,11.47,791.09,B,< 1 year,MORTGAGE,96000.0,Source Verified,debt_consolidation,17.31,1.0,Current,0,1,0,0,1,1,7200.0
10000, 36 months,13.59,339.79,C,10+ years,RENT,50000.0,Source Verified,debt_consolidation,21.92,1.0,Fully Paid,0,2,10,2,1,1,0.0
11200, 60 months,13.67,258.7,C,5 years,OWN,545000.0,Source Verified,debt_consolidation,2.93,2.0,Current,1,2,5,1,1,1,40875.0
12000, 36 months,10.49,389.98,B,10+ years,OWN,59000.0,Not Verified,house,7.83,0.0,Fully Paid,0,1,10,1,2,9,0.0
9000, 36 months,10.99,294.61,B,10+ years,MORTGAGE,125000.0,Source Verified,credit_card,17.63,0.0,Current,0,1,10,0,1,3,9375.0
19200, 36 months,11.99,637.63,C,10+ years,MORTGAGE,41000.0,Verified,other,30.5,2.0,Fully Paid,0,2,10,0,0,0,0.0
15000, 36 months,7.49,466.53,A,1 year,MORTGAGE,145000.0,Source Verified,debt_consolidation,14.38,0.0,Fully Paid,0,0,1,0,1,1,10875.0
9000, 36 months,12.49,301.04,B,1 year,MORTGAGE,53000.0,Not Verified,credit_card,15.85,0.0,Fully Paid,0,1,1,0,2,3,0.0
21225, 36 months,17.09,757.69,D,< 1 year,MORTGAGE,45100.0,Verified,debt_consolidation,21.29,0.0,Current,0,3,0,0,0,1,0.0
30000, 36 months,6.99,926.18,A,10+ years,RENT,135000.0,Source Verified,debt_consolidation,19.62,0.0,Current,0,0,10,2,1,1,10125.0
14000, 36 months,5.32,421.61,A,10+ years,MORTGAGE,85000.0,Not Verified,credit_card,24.55,0.0,Fully Paid,0,0,10,0,2,3,6375.0
14000, 36 months,17.99,506.07,D,2 years,RENT,60000.0,Source Verified,credit_card,19.5,0.0,Charged Off,0,3,2,2,1,3,0.0
30000, 36 months,11.39,987.72,B,5 years,RENT,141000.0,Not Verified,debt_consolidation,13.73,0.0,Fully Paid,0,1,5,2,2,1,10575.0
19775, 60 months,15.99,480.79,C,6 years,MORTGAGE,135000.0,Source Verified,home_improvement,8.12,0.0,Current,1,2,6,0,1,2,10125.0
28800, 60 months,14.99,685.0,C,< 1 year,MORTGAGE,180000.0,Not Verified,debt_consolidation,16.4,2.0,In Grace Period,1,2,0,0,2,1,13500.0
35000, 60 months,12.39,785.48,C,< 1 year,MORTGAGE,135000.0,Source Verified,debt_consolidation,12.68,0.0,Fully Paid,1,2,0,0,1,1,10125.0
7000, 36 months,6.24,213.72,A,10+ years,MORTGAGE,34000.0,Verified,debt_consolidation,28.13,0.0,Fully Paid,0,0,10,0,0,1,0.0
6000, 36 months,9.49,192.17,B,< 1 year,MORTGAGE,42000.0,Not Verified,debt_consolidation,10.11,0.0,Current,0,1,0,0,2,1,0.0
15000, 36 months,7.97,469.84,A,10+ years,OWN,57000.0,Verified,other,10.76,0.0,Fully Paid,0,0,10,1,0,0,0.0
19200, 36 months,9.17,612.08,B,10+ years,OWN,88000.0,Not Verified,credit_card,17.84,0.0,Fully Paid,0,1,10,1,2,3,6600.0
1500, 36 months,9.49,48.05,B,10+ years,MORTGAGE,49500.0,Not Verified,home_improvement,12.65,0.0,Fully Paid,0,1,10,0,2,2,0.0
24000, 36 months,5.32,722.76,A,10+ years,RENT,117000.0,Source Verified,debt_consolidation,6.54,0.0,Fully Paid,0,0,10,2,1,1,8775.0
15000, 60 months,15.61,361.67,C,10+ years,MORTGAGE,75000.0,Source Verified,debt_consolidation,14.26,0.0,Fully Paid,1,2,10,0,1,1,5625.0
20000, 60 months,12.62,451.19,C,10+ years,MORTGAGE,120000.0,Not Verified,debt_consolidation,18.42,1.0,Current,1,2,10,0,2,1,9000.0
14000, 60 months,15.61,337.56,D,10+ years,MORTGAGE,92000.0,Verified,debt_consolidation,20.22,0.0,Current,1,3,10,0,0,1,6900.0
5000, 36 months,11.99,166.05,B,10+ years,MORTGAGE,90000.0,Source Verified,debt_consolidation,20.15,0.0,Charged Off,0,1,10,0,1,1,6750.0
11000, 60 months,15.61,265.23,D,10+ years,MORTGAGE,62500.0,Source Verified,credit_card,30.91,0.0,Fully Paid,1,3,10,0,1,3,0.0
10000, 36 months,18.54,364.24,E,1 year,OWN,65000.0,Verified,debt_consolidation,20.85,3.0,Charged Off,0,4,1,1,0,1,0.0
8000, 36 months,14.33,274.71,C,10+ years,RENT,45000.0,Not Verified,debt_consolidation,16.88,1.0,Fully Paid,0,2,10,2,2,1,0.0
6000, 36 months,16.29,211.81,D,5 years,RENT,47000.0,Not Verified,debt_consolidation,27.4,0.0,Fully Paid,0,3,5,2,2,1,0.0
28000, 60 months,15.49,673.35,C,10+ years,MORTGAGE,141000.0,Not Verified,debt_consolidation,14.92,2.0,Current,1,2,10,0,2,1,10575.0
1450, 36 months,12.69,48.65,C,2 years,OWN,40000.0,Source Verified,other,13.65,2.0,Fully Paid,0,2,2,1,1,0,0.0
9500, 36 months,5.32,286.1,A,3 years,MORTGAGE,84000.0,Not Verified,medical,1.41,0.0,Fully Paid,0,0,3,0,2,6,6300.0
6875, 36 months,15.31,239.37,C,10+ years,RENT,125000.0,Source Verified,other,3.81,0.0,Fully Paid,0,2,10,2,1,0,9375.0
6000, 36 months,9.8,193.05,B,4 years,RENT,33000.0,Not Verified,credit_card,19.96,0.0,Fully Paid,0,1,4,2,2,3,0.0
14400, 60 months,22.74,403.8,E,7 years,RENT,46000.0,Source Verified,debt_consolidation,13.41,0.0,Late (31-120 days),1,4,7,2,1,1,0.0
5500, 36 months,7.07,170.01,A,7 years,MORTGAGE,56604.0,Source Verified,debt_consolidation,3.22,0.0,Fully Paid,0,0,7,0,1,1,0.0
19200, 60 months,13.67,443.48,C,6 years,RENT,48000.0,Not Verified,debt_consolidation,32.84,0.0,Fully Paid,1,2,6,2,2,1,0.0
12000, 36 months,7.96,375.82,A,9 years,OWN,128000.0,Not Verified,debt_consolidation,6.43,0.0,Current,0,0,9,1,2,1,9600.0
7200, 36 months,11.49,237.4,B,10+ years,RENT,34000.0,Source Verified,debt_consolidation,17.37,0.0,Fully Paid,0,1,10,2,1,1,0.0
14000, 60 months,12.29,313.48,C,8 years,MORTGAGE,100000.0,Source Verified,debt_consolidation,13.01,0.0,Charged Off,1,2,8,0,1,1,7500.0
12000, 36 months,10.08,387.66,B,2 years,RENT,48000.0,Not Verified,debt_consolidation,16.88,0.0,Current,0,1,2,2,2,1,0.0
10000, 36 months,8.24,314.48,B,10+ years,RENT,90000.0,Source Verified,credit_card,3.95,0.0,Fully Paid,0,1,10,2,1,3,6750.0
20000, 36 months,13.99,683.46,C,10+ years,MORTGAGE,52000.0,Verified,debt_consolidation,26.95,0.0,Fully Paid,0,2,10,0,0,1,0.0
14000, 60 months,23.13,395.72,F,6 years,MORTGAGE,68500.0,Verified,debt_consolidation,22.37,0.0,Current,1,5,6,0,0,1,5137.5
5500, 36 months,13.59,186.89,C,4 years,RENT,20500.0,Not Verified,debt_consolidation,32.73,0.0,Current,0,2,4,2,2,1,0.0
6150, 36 months,17.57,221.02,D,2 years,RENT,36000.0,Source Verified,debt_consolidation,33.88,0.0,Fully Paid,0,3,2,2,1,1,0.0
15250, 36 months,11.47,502.67,B,< 1 year,MORTGAGE,60000.0,Verified,debt_consolidation,16.96,3.0,Fully Paid,0,1,0,0,0,1,0.0
30000, 36 months,10.91,980.89,B,1 year,OWN,70000.0,Source Verified,debt_consolidation,18.76,0.0,Current,0,1,1,1,1,1,5250.0
3000, 36 months,10.91,98.09,B,< 1 year,RENT,70000.0,Source Verified,debt_consolidation,11.04,0.0,Current,0,1,0,2,1,1,5250.0
30000, 60 months,13.56,691.23,C,10+ years,MORTGAGE,60000.0,Not Verified,debt_consolidation,23.9,0.0,Current,1,2,10,0,2,1,0.0
30000, 60 months,14.47,705.38,C,8 years,MORTGAGE,63000.0,Source Verified,debt_consolidation,11.29,1.0,Current,1,2,8,0,1,1,0.0
6800, 36 months,11.99,225.83,C,10+ years,OWN,22722.2,Source Verified,debt_consolidation,15.64,0.0,Charged Off,0,2,10,1,1,1,0.0
6500, 36 months,14.08,222.41,C,8 years,RENT,30000.0,Verified,credit_card,32.24,0.0,Current,0,2,8,2,0,3,0.0
7500, 36 months,16.91,267.06,C,10+ years,RENT,65000.0,Not Verified,debt_consolidation,10.32,0.0,Current,0,2,10,2,2,1,0.0
9925, 36 months,16.99,353.81,D,2 years,RENT,32000.0,Verified,debt_consolidation,25.36,0.0,Late (31-120 days),0,3,2,2,0,1,0.0
20000, 36 months,11.44,658.95,B,10+ years,MORTGAGE,55000.0,Verified,debt_consolidation,43.44,1.0,Fully Paid,0,1,10,0,0,1,0.0
17000, 36 months,15.05,589.73,C,3 years,RENT,40000.0,Source Verified,debt_consolidation,17.37,0.0,Fully Paid,0,2,3,2,1,1,0.0
23000, 60 months,11.99,511.51,B,< 1 year,MORTGAGE,43168.0,Source Verified,debt_consolidation,30.53,0.0,Current,1,1,0,0,1,1,0.0
16000, 60 months,11.98,355.75,B,5 years,RENT,40000.0,Source Verified,credit_card,9.15,0.0,Current,1,1,5,2,1,3,0.0
16000, 36 months,19.92,593.97,D,1 year,RENT,30528.0,Verified,debt_consolidation,38.17,0.0,Current,0,3,1,2,0,1,0.0
30000, 60 months,9.92,636.24,B,10+ years,MORTGAGE,68000.0,Verified,debt_consolidation,27.39,0.0,Current,1,1,10,0,0,1,5100.0
5000, 36 months,8.99,158.98,B,9 years,MORTGAGE,85000.0,Not Verified,debt_consolidation,6.85,0.0,Current,0,1,9,0,2,1,6375.0
27000, 36 months,12.13,898.47,B,< 1 year,RENT,43320.0,Not Verified,debt_consolidation,22.33,0.0,Charged Off,0,1,0,2,2,1,0.0
35000, 60 months,12.39,785.48,C,3 years,MORTGAGE,93000.0,Verified,debt_consolidation,13.11,0.0,Fully Paid,1,2,3,0,0,1,6975.0
2000, 36 months,5.32,60.23,A,10+ years,RENT,47000.0,Not Verified,debt_consolidation,22.68,0.0,Current,0,0,10,2,2,1,0.0
6025, 36 months,12.74,202.26,C,10+ years,RENT,67000.0,Verified,debt_consolidation,3.21,0.0,Fully Paid,0,2,10,2,0,1,5025.0
33000, 60 months,17.47,828.5,D,10+ years,MORTGAGE,120000.0,Verified,debt_consolidation,19.16,0.0,Current,1,3,10,0,0,1,9000.0
3000, 36 months,13.49,101.8,C,6 years,RENT,87000.0,Verified,debt_consolidation,7.85,0.0,Fully Paid,0,2,6,2,0,1,6525.0
26000, 60 months,10.9,564.01,B,9 years,RENT,70000.0,Not Verified,major_purchase,17.44,0.0,Current,1,1,9,2,2,7,5250.0
19800, 60 months,21.99,546.75,E,10+ years,RENT,55000.0,Source Verified,debt_consolidation,29.22,0.0,Fully Paid,1,4,10,2,1,1,0.0
7000, 36 months,7.84,218.84,A,3 years,MORTGAGE,42000.0,Source Verified,credit_card,22.37,0.0,Current,0,0,3,0,1,3,0.0
1000, 36 months,19.92,37.13,D,2 years,OWN,29560.0,Not Verified,major_purchase,19.12,0.0,Current,0,3,2,1,2,7,0.0
15000, 60 months,9.93,318.19,B,< 1 year,RENT,57080.0,Not Verified,credit_card,25.74,0.0,Current,1,1,0,2,2,3,0.0
15000, 36 months,10.49,487.47,B,10+ years,RENT,87000.0,Source Verified,debt_consolidation,10.61,0.0,Fully Paid,0,1,10,2,1,1,6525.0
10000, 36 months,6.07,304.54,A,4 years,OWN,45000.0,Verified,other,11.23,0.0,Current,0,0,4,1,0,0,0.0
32225, 36 months,15.59,1126.43,D,10+ years,RENT,78000.0,Verified,debt_consolidation,28.77,0.0,Fully Paid,0,3,10,2,0,1,5850.0
15000, 60 months,16.14,365.89,C,< 1 year,MORTGAGE,35000.0,Verified,debt_consolidation,22.45,0.0,Current,1,2,0,0,0,1,0.0
13000, 36 months,19.42,479.3,D,,MORTGAGE,38172.0,Source Verified,debt_consolidation,33.67,0.0,Current,0,3,-1,0,1,1,0.0
22000, 60 months,19.03,571.06,D,10+ years,MORTGAGE,84400.0,Source Verified,debt_consolidation,23.3,1.0,In Grace Period,1,3,10,0,1,1,6330.0
25000, 60 months,10.49,537.23,B,5 years,MORTGAGE,248000.0,Verified,credit_card,3.29,0.0,Current,1,1,5,0,0,3,18600.0
26000, 60 months,12.99,591.45,C,10+ years,OWN,52000.0,Not Verified,debt_consolidation,15.48,0.0,Current,1,2,10,1,2,1,0.0
12000, 36 months,10.91,392.36,B,< 1 year,MORTGAGE,24000.0,Not Verified,debt_consolidation,60.4,0.0,Current,0,1,0,0,2,1,0.0
20000, 36 months,13.99,683.46,C,4 years,MORTGAGE,64000.0,Source Verified,home_improvement,14.42,0.0,Current,0,2,4,0,1,2,0.0
10000, 36 months,20.0,371.64,D,3 years,RENT,96000.0,Verified,debt_consolidation,13.73,3.0,Current,0,3,3,2,0,1,7200.0
20000, 60 months,18.55,513.88,E,7 years,MORTGAGE,65000.0,Source Verified,debt_consolidation,15.56,0.0,Current,1,4,7,0,1,1,0.0
12000, 36 months,5.31,361.33,A,3 years,RENT,53000.0,Not Verified,credit_card,29.76,0.0,Current,0,0,3,2,2,3,0.0
35000, 36 months,10.99,1145.69,B,4 years,RENT,118000.0,Verified,credit_card,19.82,0.0,Fully Paid,0,1,4,2,0,3,8850.0
13000, 36 months,8.18,408.46,B,< 1 year,MORTGAGE,50000.0,Not Verified,debt_consolidation,29.9,1.0,Fully Paid,0,1,0,0,2,1,0.0
4000, 36 months,11.49,131.89,B,2 years,OWN,90000.0,Source Verified,debt_consolidation,21.55,0.0,Current,0,1,2,1,1,1,6750.0
8500, 36 months,9.93,274.0,B,10+ years,RENT,54000.0,Not Verified,credit_card,10.47,0.0,Fully Paid,0,1,10,2,2,3,0.0
8000, 36 months,8.46,252.4,A,10+ years,RENT,68000.0,Source Verified,credit_card,21.0,0.0,Current,0,0,10,2,1,3,5100.0
6800, 36 months,17.09,242.75,D,,OWN,18587.59,Not Verified,credit_card,19.51,1.0,Charged Off,0,3,-1,1,2,3,0.0
3700, 36 months,13.11,124.87,B,9 years,MORTGAGE,80000.0,Not Verified,debt_consolidation,9.92,3.0,Fully Paid,0,1,9,0,2,1,6000.0
30800, 36 months,10.99,1008.21,B,7 years,RENT,97000.0,Verified,debt_consolidation,19.32,1.0,Fully Paid,0,1,7,2,0,1,7275.0
24000, 60 months,19.99,635.72,D,2 years,RENT,70000.0,Verified,credit_card,25.36,0.0,Charged Off,1,3,2,2,0,3,5250.0
10000, 36 months,13.67,340.18,C,1 year,MORTGAGE,45000.0,Source Verified,debt_consolidation,22.19,1.0,Current,0,2,1,0,1,1,0.0
15000, 60 months,17.57,377.41,D,9 years,OWN,45000.0,Source Verified,debt_consolidation,32.47,0.0,Charged Off,1,3,9,1,1,1,0.0
9000, 36 months,15.04,312.17,C,5 years,MORTGAGE,31200.0,Source Verified,debt_consolidation,15.19,0.0,Current,0,2,5,0,1,1,0.0
6000, 36 months,12.62,201.07,C,< 1 year,RENT,47000.0,Not Verified,credit_card,4.37,0.0,Current,0,2,0,2,2,3,0.0
5600, 36 months,11.39,184.38,B,2 years,OWN,75000.0,Not Verified,home_improvement,22.24,0.0,Fully Paid,0,1,2,1,2,2,5625.0
5000, 36 months,15.05,173.45,C,,RENT,50000.0,Verified,vacation,26.84,0.0,Current,0,2,-1,2,0,8,0.0
8000, 36 months,11.67,264.46,B,10+ years,MORTGAGE,120000.0,Not Verified,home_improvement,5.94,0.0,Fully Paid,0,1,10,0,2,2,9000.0
12525, 60 months,12.29,280.46,C,8 years,MORTGAGE,73000.0,Source Verified,debt_consolidation,27.44,0.0,Current,1,2,8,0,1,1,5475.0
10000, 36 months,7.46,310.88,A,8 years,MORTGAGE,105000.0,Not Verified,major_purchase,26.78,0.0,Current,0,0,8,0,2,7,7875.0
12000, 36 months,10.08,387.66,B,2 years,RENT,26500.0,Not Verified,moving,15.85,0.0,Current,0,1,2,2,2,10,0.0
35000, 36 months,12.74,1174.91,C,10+ years,MORTGAGE,104000.0,Not Verified,debt_consolidation,32.63,1.0,Late (31-120 days),0,2,10,0,2,1,7800.0
16000, 36 months,16.91,569.73,C,1 year,RENT,80000.0,Not Verified,credit_card,20.9,0.0,Late (31-120 days),0,2,1,2,2,3,6000.0
8000, 36 months,9.16,255.0,B,3 years,OWN,40000.0,Source Verified,debt_consolidation,27.06,0.0,Fully Paid,0,1,3,1,1,1,0.0
17000, 60 months,13.65,392.49,C,10+ years,MORTGAGE,80000.0,Source Verified,debt_consolidation,16.77,0.0,Fully Paid,1,2,10,0,1,1,6000.0
15000, 36 months,14.99,519.91,C,8 years,OWN,60000.0,Source Verified,other,12.84,1.0,Fully Paid,0,2,8,1,1,0,0.0
12000, 60 months,14.99,285.42,C,4 years,MORTGAGE,50000.0,Not Verified,debt_consolidation,15.03,1.0,Charged Off,1,2,4,0,2,1,0.0
8400, 36 months,9.92,270.73,B,4 years,OWN,57000.0,Not Verified,credit_card,22.59,0.0,Current,0,1,4,1,2,3,0.0
18000, 60 months,22.47,501.97,E,5 years,RENT,86000.0,Verified,debt_consolidation,10.77,1.0,Fully Paid,1,4,5,2,0,1,6450.0
6400, 36 months,8.46,201.92,A,3 years,RENT,130000.0,Source Verified,debt_consolidation,8.57,0.0,Fully Paid,0,0,3,2,1,1,9750.0
4800, 36 months,17.47,172.26,D,,OWN,35000.0,Not Verified,other,28.02,0.0,Current,0,3,-1,1,2,0,0.0
20000, 36 months,13.11,674.94,B,4 years,RENT,130000.0,Verified,debt_consolidation,6.75,1.0,Fully Paid,0,1,4,2,0,1,9750.0
4500, 36 months,14.46,154.81,C,8 years,MORTGAGE,33700.0,Source Verified,other,22.65,6.0,Charged Off,0,2,8,0,1,0,0.0
7175, 36 months,20.2,267.39,E,2 years,RENT,24000.0,Not Verified,debt_consolidation,15.21,0.0,Fully Paid,0,4,2,2,2,1,0.0
15000, 36 months,5.32,451.73,A,2 years,RENT,33000.0,Not Verified,debt_consolidation,32.26,0.0,Current,0,0,2,2,2,1,0.0
35000, 60 months,11.53,770.27,B,2 years,MORTGAGE,190000.0,Verified,debt_consolidation,27.94,0.0,Current,1,1,2,0,0,1,14250.0
14000, 60 months,14.64,330.42,C,10+ years,MORTGAGE,45000.0,Not Verified,credit_card,28.13,0.0,Fully Paid,1,2,10,0,2,3,0.0
35000, 36 months,7.89,1095.0,A,10+ years,MORTGAGE,95000.0,Source Verified,debt_consolidation,25.35,1.0,Fully Paid,0,0,10,0,1,1,7125.0
16000, 36 months,6.68,491.7,A,5 years,OWN,100000.0,Not Verified,credit_card,10.79,0.0,Fully Paid,0,0,5,1,2,3,7500.0
24000, 36 months,13.67,816.43,B,5 years,MORTGAGE,90000.0,Source Verified,debt_consolidation,19.28,1.0,Charged Off,0,1,5,0,1,1,6750.0
6500, 36 months,9.49,208.19,B,5 years,RENT,55000.0,Source Verified,debt_consolidation,18.52,0.0,Current,0,1,5,2,1,1,0.0
12000, 36 months,9.49,384.34,B,2 years,RENT,45000.0,Verified,credit_card,16.99,0.0,Fully Paid,0,1,2,2,0,3,0.0
28000, 36 months,7.91,876.26,A,3 years,RENT,100000.0,Source Verified,credit_card,28.01,0.0,Charged Off,0,0,3,2,1,3,7500.0
12000, 60 months,17.27,299.98,D,10+ years,MORTGAGE,51000.0,Not Verified,credit_card,36.92,0.0,Current,1,3,10,0,2,3,0.0
8000, 36 months,14.99,277.29,C,5 years,RENT,35000.0,Verified,debt_consolidation,13.24,0.0,Current,0,2,5,2,0,1,0.0
3500, 36 months,19.22,128.69,D,10+ years,OWN,30000.0,Not Verified,debt_consolidation,16.04,0.0,Fully Paid,0,3,10,1,2,1,0.0
16100, 36 months,26.77,655.31,E,10+ years,OWN,85000.0,Not Verified,home_improvement,12.42,0.0,Current,0,4,10,1,2,2,6375.0
6000, 36 months,13.11,202.49,B,6 years,RENT,30000.0,Source Verified,debt_consolidation,6.16,0.0,Fully Paid,0,1,6,2,1,1,0.0
8000, 36 months,14.08,273.74,C,1 year,RENT,70720.0,Verified,credit_card,32.28,0.0,Current,0,2,1,2,0,3,5304.0
7500, 36 months,16.01,263.72,C,7 years,RENT,36250.0,Not Verified,credit_card,19.6,0.0,Current,0,2,7,2,2,3,0.0
8000, 36 months,15.05,277.52,C,2 years,MORTGAGE,68000.0,Not Verified,debt_consolidation,13.27,0.0,Current,0,2,2,0,2,1,5100.0
5000, 36 months,11.55,165.0,B,,OWN,48000.0,Verified,debt_consolidation,27.15,1.0,Fully Paid,0,1,-1,1,0,1,0.0
13500, 36 months,14.47,464.49,C,2 years,MORTGAGE,55000.0,Source Verified,debt_consolidation,18.98,1.0,Current,0,2,2,0,1,1,0.0
17925, 60 months,21.18,486.75,E,< 1 year,RENT,102000.0,Verified,house,16.02,0.0,Fully Paid,1,4,0,2,0,9,7650.0
11700, 36 months,14.09,400.39,B,10+ years,MORTGAGE,48000.0,Not Verified,debt_consolidation,19.3,0.0,Fully Paid,0,1,10,0,2,1,0.0
15000, 36 months,13.99,512.6,C,10+ years,RENT,55000.0,Verified,debt_consolidation,39.12,0.0,Charged Off,0,2,10,2,0,1,0.0
5875, 36 months,8.18,184.59,B,10+ years,MORTGAGE,80000.0,Not Verified,credit_card,27.62,0.0,Fully Paid,0,1,10,0,2,3,6000.0
6000, 36 months,11.99,199.26,C,2 years,RENT,28584.0,Source Verified,debt_consolidation,21.66,0.0,Fully Paid,0,2,2,2,1,1,0.0
15725, 36 months,17.57,565.12,D,10+ years,MORTGAGE,53000.0,Source Verified,debt_consolidation,18.57,0.0,Charged Off,0,3,10,0,1,1,0.0
16000, 36 months,8.9,508.06,A,6 years,RENT,75000.0,Source Verified,credit_card,20.15,0.0,Fully Paid,0,0,6,2,1,3,5625.0
21000, 36 months,6.11,639.91,A,< 1 year,RENT,85000.0,Not Verified,credit_card,15.35,0.0,Current,0,0,0,2,2,3,6375.0
4800, 36 months,6.24,146.55,A,5 years,MORTGAGE,105000.0,Not Verified,debt_consolidation,13.29,0.0,Fully Paid,0,0,5,0,2,1,7875.0
8000, 36 months,14.99,277.29,C,2 years,RENT,38000.0,Source Verified,debt_consolidation,27.29,0.0,Current,0,2,2,2,1,1,0.0
11400, 60 months,12.99,259.33,C,3 years,OWN,30000.0,Verified,major_purchase,22.36,1.0,Current,1,2,3,1,0,7,0.0
